City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,Yaan,7.3833,8.5667,71.85,97,100,4.09,NG,2022-10-03 01:21:50
298,Romitan,39.9343,64.3814,46.35,39,0,2.3,UZ,2022-10-03 01:21:51
299,Yendi,9.4427,-0.0099,72.64,90,94,1.01,GH,2022-10-03 01:21:51
300,Agirish,61.9247,63.0231,37.11,90,100,10.92,RU,2022-10-03 01:21:52
301,Sterling,39.0062,-77.4286,54.55,93,100,13.8,US,2022-10-03 01:21:52
302,Conchal,-22.3303,-47.1725,71.76,79,0,6.87,BR,2022-10-03 01:21:52
303,Korla,41.7597,86.1469,45.82,27,0,13.65,CN,2022-10-03 01:21:52
304,Coquimbo,-29.9533,-71.3436,55.13,94,100,2.3,CL,2022-10-03 01:19:08
305,Upernavik,72.7868,-56.1549,20.43,86,58,9.55,GL,2022-10-03 01:21:53
306,Brownsburg,39.8434,-86.3978,61.45,59,0,9.22,US,2022-10-03 01:19:12
307,Marystown,47.1666,-55.1483,45.84,59,100,9.78,CA,2022-10-03 01:19:46
308,Kochubey,44.3861,46.5825,69.55,62,100,29.46,RU,2022-10-03 01:21:54
309,Saint-Augustin,51.226,-58.6502,39.4,55,1,10.11,CA,2022-10-03 01:21:55
310,Ramsar,36.9226,50.6426,67.44,77,0,2.3,IR,2022-10-03 01:21:55
311,Sijunjung,-0.6876,100.9537,75.67,91,98,0.96,ID,2022-10-03 01:21:55
312,Zhangye,38.9342,100.4517,45.5,16,95,6.69,CN,2022-10-03 01:21:56
313,Tucupita,9.0622,-62.051,76.66,91,84,3.69,VE,2022-10-03 01:21:56
314,Tuatapere,-46.1333,167.6833,49.41,61,91,13.29,NZ,2022-10-03 01:21:56
315,Fortuna,40.5982,-124.1573,61.93,80,10,1.01,US,2022-10-03 01:21:57
316,Sitka,57.0531,-135.33,55.29,67,40,5.75,US,2022-10-03 01:21:57
317,Nisia Floresta,-6.0911,-35.2086,79.18,84,0,7.07,BR,2022-10-03 01:22:57
318,Worcester,42.3334,-71.8328,48.99,70,0,9.22,US,2022-10-03 01:22:57
319,Kaitangata,-46.2817,169.8464,52.16,47,32,15.86,NZ,2022-10-03 01:22:58
320,Redwater,33.3582,-94.2544,75.49,55,0,4.74,US,2022-10-03 01:22:58
